FCLTY_NM,LC_LA,LC_LO,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,ADSTRD_NM,RDNMADR_NM,TIME,SEARCH_SUM,RANK_AVG
2018 공주 석장리 세계구석기축제,36.4479522117,127.1875895033,충청남도,공주시,석장리동,월송동,충청남도 공주시 금벽로 990,2021-02~2021-12,1729.0,6.0
2018 광복기념음악회,37.3852888807,126.9076744633,경기도,안양시 만안구,안양동,안양9동,경기도 안양시 만안구 병목안로 215,2021-08~2021-08,15.0,1.0
2018 대구약령시한방문화축제,35.867194,128.593426,대구광역시,중구,동성로3가,성내2동,대구광역시 중구 동성로3가 중앙대로 379-2,2021-01~2021-12,6618.0,6.5
2018 마곡사토요무대,36.55728753,127.0183843,충청남도,공주시,사곡면,사곡면,충청남도 공주시 사곡면 마곡사로 854,2021-06~2021-10,110.0,2.5
2018 무안황토갯벌축제,35.103769,126.332198,전라남도,무안군,해제면,해제면,전라남도 무안군 해제면 용산길 140,2021-01~2021-12,8122.0,6.5
2018 백제어울마당,36.4606050456,127.1126907251,충청남도,공주시,웅진동,웅진동,충청남도 공주시 왕릉로 37,2021-05~2021-10,50.0,2.0
2018 안산 김홍도축제,37.3256744678,126.8137709572,경기도,안산시 단원구,초지동,초지동,경기도 안산시 단원구 동산로 268,2021-01~2021-12,331.0,6.5
2018 안양 시민축제,37.3901372701,126.9613301749,경기도,안양시 동안구,평촌동,평안동,경기도 안양시 동안구 관평로 149,2021-01~2021-12,1550.0,6.5
2018 안양여성축제,37.3901372701,126.9613301749,경기도,안양시 동안구,평촌동,평안동,경기도 안양시 동안구 관평로 149,2021-05~2021-05,10.0,1.0
2018 안양충훈벚꽃축제,37.404615256,126.896157364,경기도,안양시 만안구,석수동,석수3동,경기도 안양시 만안구 석수로 159,2021-03~2021-11,763.0,3.0
2018 연제고분판타지축제,35.183681,129.088039,부산광역시,연제구,연산동,연산제4동,부산광역시 연제구 묘봉산로9번길 11,2021-03~2021-10,100.0,3.0
2018 웅진성수문병 근무교대식,36.4652153294,127.123680178,충청남도,공주시,금성동,웅진동,충청남도 공주시 웅진로 280,2021-02~2021-10,178.0,3.5
2018 음식 문화축제,37.2817978,127.0137047,경기도,수원시 팔달구,남창동,행궁동,경기도 수원시 팔달구 정조로 825,2021-01~2021-12,247.0,5.0
2018 전주비빔밥축제,35.8206764,127.1482821,전라북도,전주시 완산구,경원동3가,풍남동,전라북도 전주시 완산구 경원동3가 현무1길 20,2021-01~2021-12,9590.0,6.5
2018 정선고드름축제,37.37998163,128.6650479,강원도,정선군,정선읍,정선읍,강원도 정선군 정선읍 정선로 1359,2021-01~2021-12,152.0,3.0
2018 제2회 광진교 페스티벌,37.544936,127.110741,서울특별시,광진구,광장동,광장동,서울특별시 광진구 구천면로 29,2021-01~2021-12,100.0,3.5
2018 종로한복축제,37.572701,126.976924,서울특별시,종로구,세종로,사직동,서울특별시 종로구 세종로 세종대로 175,2021-01~2021-12,5709.0,6.5
2019 강남페스티벌,37.511823281,127.0591597219,서울특별시,강남구,삼성동,삼성1동,서울특별시 강남구 영동대로 513,2021-01~2021-12,5000.0,6.5
2019 강남페스티벌 패션쇼,37.511823281,127.0591597219,서울특별시,강남구,삼성동,삼성1동,서울특별시 강남구 영동대로 513,2021-08~2021-09,46.0,1.5
2019 계룡산벚꽃축제,36.36030634,127.2509274183,충청남도,공주시,반포면,반포면,충청남도 공주시 반포면 동학사1로 167-31,2021-02~2021-12,318.0,3.5
2019 계룡산산신제,36.333638,127.177107,충청남도,공주시,계룡면,계룡면,충청남도 공주시 계룡면 보목고개로 393,2021-01~2021-11,510.0,6.0
2019 고양가을꽃축제,37.653845925,126.7687814028,경기도,고양시 일산동구,장항동,장항2동,경기도 고양시 일산동구 호수로 595,2021-01~2021-12,32500.0,6.5
2019 고양국제꽃박람회,37.653845925,126.7687814028,경기도,고양시 일산동구,장항동,장항2동,경기도 고양시 일산동구 호수로 595,2021-01~2021-12,9250.0,6.5
2019 고양행주문화제,37.5956408473,126.826851382,경기도,고양시 덕양구,행주외동,행주동,경기도 고양시 덕양구 행주로15번길 89,2021-01~2021-12,967.0,6.5
2019 고양호수예술축제,37.653845925,126.7687814028,경기도,고양시 일산동구,장항동,장항2동,경기도 고양시 일산동구 호수로 595,2021-01~2021-12,5077.0,6.5
2019 공주 석장리 구석기축제,36.4479522117,127.1875895033,충청남도,공주시,석장리동,월송동,충청남도 공주시 금벽로 990,2021-01~2021-10,579.0,4.5
2019 곶자왈 반딧불이 축제,33.3020203,126.25912,제주특별자치도,제주시,한경면,한경면,제주특별자치도 제주시 한경면 연명로 346,2021-01~2021-12,7337.0,6.5
2019 군포철쭉축제,37.3548052,126.9225521,경기도,군포시,산본동,수리동,경기도 군포시 수리산로 33,2021-01~2021-12,8420.0,6.5
2019 금정산성축제,35.2453467,129.0635718,부산광역시,금정구,금성동,금성동,부산광역시 금정구 동문로 38,2021-01~2021-11,298.0,5.5
2019 노은한마음축제,36.37419807,127.3242295,대전광역시,유성구,지족동,노은2동,대전광역시 유성구 북유성대로 93,2021-10~2021-11,47.0,1.5
2019 대구약령시한방문화축제,35.867194,128.593426,대구광역시,중구,동성로3가,성내2동,대구광역시 중구 동성로3가 중앙대로 379-2,2021-01~2021-12,6618.0,6.5
2019 대전 서구힐링 아트페스티벌,36.3550567227,127.3833597309,대전광역시,서구,둔산동,둔산1동,대전광역시 서구 둔산서로 100,2021-03~2021-12,9149.0,5.0
2019 대한민국 국향대전,35.056546,126.522623,전라남도,함평군,함평읍,함평읍,전라남도 함평군 함평읍 곤재로 27,2021-06~2021-12,1746.0,4.0
2019 대한민국 온천대축제,35.4311962737,126.7383543955,전라북도,고창군,고창읍,고창읍,전라북도 고창군 고창읍 석정2로 153,2021-07~2021-07,10.0,1.0
2019 동작복지나눔축제,,,서울특별시,동작구,상도동,상도제1동,서울특별시 동작구 상도로 369,2021-03~2021-09,504.0,2.5
